team,opp_team,gamedate,game_number,offensive_rebounds,off_rebound_chances,oreb_pct
BOS,DET,2023-02-15,59,12,44,0.2727
DET,BOS,2023-02-15,59,8,44,0.1818
MEM,UTA,2023-02-15,57,21,68,0.3088
NYK,ATL,2023-02-15,60,15,52,0.2885
CHA,SAS,2023-02-15,60,18,58,0.3103
MIA,BKN,2023-02-15,59,16,49,0.3265
BKN,MIA,2023-02-15,58,7,37,0.1892
ATL,NYK,2023-02-15,59,10,59,0.1695
SAS,CHA,2023-02-15,59,26,69,0.3768
OKC,HOU,2023-02-15,57,13,49,0.2653
UTA,MEM,2023-02-15,60,21,51,0.4118
HOU,OKC,2023-02-15,58,19,60,0.3167
NOP,LAL,2023-02-15,59,16,55,0.2909
DAL,DEN,2023-02-15,60,7,46,0.1522
LAL,NOP,2023-02-15,59,8,47,0.1702
DEN,DAL,2023-02-15,59,7,37,0.1892
PHX,LAC,2023-02-16,60,12,49,0.2449
MIL,CHI,2023-02-16,58,11,49,0.2245
CHI,MIL,2023-02-16,59,19,62,0.3065
WAS,MIN,2023-02-16,58,16,54,0.2963
MIN,WAS,2023-02-16,61,20,57,0.3509
LAC,PHX,2023-02-16,61,11,43,0.2558
DET,ORL,2023-02-23,60,11,47,0.234
MEM,PHI,2023-02-23,58,17,56,0.3036
CLE,DEN,2023-02-23,62,16,48,0.3333
ORL,DET,2023-02-23,60,18,59,0.3051
BOS,IND,2023-02-23,60,22,51,0.4314
IND,BOS,2023-02-23,61,14,46,0.3043
NOP,TOR,2023-02-23,60,9,48,0.1875
TOR,NOP,2023-02-23,60,13,51,0.2549
DEN,CLE,2023-02-23,60,19,48,0.3958
DAL,SAS,2023-02-23,61,5,41,0.122
SAS,DAL,2023-02-23,60,12,47,0.2553
PHI,MEM,2023-02-23,58,14,52,0.2692
OKC,UTA,2023-02-23,58,25,70,0.3571
UTA,OKC,2023-02-23,61,25,60,0.4167
POR,SAC,2023-02-23,59,13,51,0.2549
SAC,POR,2023-02-23,58,14,41,0.3415
GSW,LAL,2023-02-23,59,20,68,0.2941
LAL,GSW,2023-02-23,60,16,49,0.3265
WAS,NYK,2023-02-24,59,9,40,0.225
NYK,WAS,2023-02-24,61,16,49,0.3265
MIA,MIL,2023-02-24,60,10,58,0.1724
MIL,MIA,2023-02-24,59,14,52,0.2692
CLE,ATL,2023-02-24,63,10,48,0.2083
ATL,CLE,2023-02-24,60,8,36,0.2222
BKN,CHI,2023-02-24,59,8,53,0.1509
CHI,BKN,2023-02-24,60,13,44,0.2955
MIN,CHA,2023-02-24,62,10,52,0.1923
CHA,MIN,2023-02-24,61,12,51,0.2353
LAC,SAC,2023-02-24,62,10,42,0.2381
SAC,LAC,2023-02-24,59,14,50,0.28
HOU,GSW,2023-02-24,59,15,59,0.2542
OKC,PHX,2023-02-24,59,17,57,0.2982
PHX,OKC,2023-02-24,61,15,51,0.2941
GSW,HOU,2023-02-24,60,9,42,0.2143
TOR,DET,2023-02-25,61,15,63,0.2381
DET,TOR,2023-02-25,61,20,59,0.339
NYK,NOP,2023-02-25,62,14,44,0.3182
IND,ORL,2023-02-25,62,14,55,0.2545
ORL,IND,2023-02-25,61,21,57,0.3684
CHA,MIA,2023-02-25,62,12,51,0.2353
MIA,CHA,2023-02-25,61,11,50,0.22
NOP,NYK,2023-02-25,61,16,65,0.2462
MEM,DEN,2023-02-25,59,14,51,0.2745
DEN,MEM,2023-02-25,61,12,55,0.2182
BOS,PHI,2023-02-25,61,10,45,0.2222
PHI,BOS,2023-02-25,59,11,47,0.234
UTA,SAS,2023-02-25,62,17,52,0.3269
SAS,UTA,2023-02-25,61,16,60,0.2667
MIL,PHX,2023-02-26,60,16,54,0.2963
PHX,MIL,2023-02-26,62,23,60,0.3833
DAL,LAL,2023-02-26,62,16,57,0.2807
LAL,DAL,2023-02-26,61,20,58,0.3448
ATL,BKN,2023-02-26,61,16,48,0.3333
BKN,ATL,2023-02-26,60,9,44,0.2045
WAS,CHI,2023-02-26,60,17,51,0.3333
CHI,WAS,2023-02-26,61,10,41,0.2439
TOR,CLE,2023-02-26,62,16,59,0.2712
CLE,TOR,2023-02-26,64,8,41,0.1951
OKC,SAC,2023-02-26,60,12,48,0.25
SAC,OKC,2023-02-26,60,15,44,0.3409
MIN,GSW,2023-02-26,63,15,57,0.2632
DEN,LAC,2023-02-26,62,17,51,0.3333
GSW,MIN,2023-02-26,61,19,55,0.3455
LAC,DEN,2023-02-26,63,7,51,0.1373
HOU,POR,2023-02-26,60,26,60,0.4333
POR,HOU,2023-02-26,60,7,38,0.1842
BOS,NYK,2023-02-27,62,9,48,0.1875
NOP,ORL,2023-02-27,62,11,44,0.25
ORL,NOP,2023-02-27,62,15,47,0.3191
NYK,BOS,2023-02-27,63,14,44,0.3182
PHI,MIA,2023-02-27,60,18,44,0.4091
DET,CHA,2023-02-27,62,15,54,0.2778
MIA,PHI,2023-02-27,62,15,48,0.3125
CHA,DET,2023-02-27,63,12,43,0.2791
WAS,ATL,2023-02-28,61,20,50,0.4
BKN,MIL,2023-02-28,61,5,50,0.1
CHI,TOR,2023-02-28,62,7,36,0.1944
MIL,BKN,2023-02-28,61,18,58,0.3103
MEM,LAL,2023-02-28,60,19,62,0.3065
TOR,CHI,2023-02-28,63,23,59,0.3898
ATL,WAS,2023-02-28,62,17,51,0.3333
LAL,MEM,2023-02-28,62,16,51,0.3137
IND,DAL,2023-02-28,63,6,40,0.15
HOU,DEN,2023-02-28,61,15,51,0.2941
UTA,SAS,2023-02-28,63,21,60,0.35
SAS,UTA,2023-02-28,62,16,56,0.2857
DEN,HOU,2023-02-28,63,11,42,0.2619
DAL,IND,2023-02-28,63,14,51,0.2745
POR,GSW,2023-02-28,61,13,51,0.2549
LAC,MIN,2023-02-28,64,14,50,0.28
GSW,POR,2023-02-28,62,18,44,0.4091
MIN,LAC,2023-02-28,64,15,52,0.2885
OKC,SAC,2023-02-28,61,14,58,0.2414
SAC,OKC,2023-02-28,61,13,44,0.2955
DET,CHI,2023-03-01,63,9,40,0.225
CLE,BOS,2023-03-01,65,16,52,0.3077
CHI,DET,2023-03-01,63,14,48,0.2917
PHX,CHA,2023-03-01,63,8,48,0.1667
NYK,BKN,2023-03-01,64,11,38,0.2895
PHI,MIA,2023-03-01,61,11,42,0.2619
CHA,PHX,2023-03-01,64,16,61,0.2623
MIA,PHI,2023-03-01,63,10,45,0.2222
BKN,NYK,2023-03-01,62,8,48,0.1667
BOS,CLE,2023-03-01,63,11,40,0.275
MIL,ORL,2023-03-01,62,8,47,0.1702
NOP,POR,2023-03-01,63,15,44,0.3409
LAL,OKC,2023-03-01,63,14,47,0.2979
POR,NOP,2023-03-01,62,14,46,0.3043
MEM,HOU,2023-03-01,61,8,43,0.186
OKC,LAL,2023-03-01,62,17,51,0.3333
ORL,MIL,2023-03-01,63,15,54,0.2778
HOU,MEM,2023-03-01,62,23,59,0.3898
WAS,TOR,2023-03-02,62,10,45,0.2222
TOR,WAS,2023-03-02,64,15,51,0.2941
DAL,PHI,2023-03-02,64,9,44,0.2045
PHI,DAL,2023-03-02,62,6,35,0.1714
SAS,IND,2023-03-02,63,19,54,0.3519
IND,SAS,2023-03-02,64,9,50,0.18
LAC,GSW,2023-03-02,65,12,58,0.2069
GSW,LAC,2023-03-02,63,16,56,0.2857
ORL,CHA,2023-03-03,64,15,42,0.3571
CHA,ORL,2023-03-03,65,12,42,0.2857
POR,ATL,2023-03-03,63,13,47,0.2766
ATL,POR,2023-03-03,63,15,41,0.3659
BOS,BKN,2023-03-03,64,10,47,0.2128
BKN,BOS,2023-03-03,63,17,58,0.2931
LAC,SAC,2023-03-03,66,9,45,0.2
PHX,CHI,2023-03-03,64,17,44,0.3864
DEN,MEM,2023-03-03,64,16,50,0.32
NOP,GSW,2023-03-03,64,9,45,0.2
OKC,UTA,2023-03-03,63,15,54,0.2778
SAC,LAC,2023-03-03,62,11,41,0.2683
UTA,OKC,2023-03-03,64,13,43,0.3023
CHI,PHX,2023-03-03,64,13,45,0.2889
NYK,MIA,2023-03-03,65,7,37,0.1892
GSW,NOP,2023-03-03,64,12,38,0.3158
MIN,LAL,2023-03-03,65,14,49,0.2857
MEM,DEN,2023-03-03,62,13,57,0.2281
MIA,NYK,2023-03-03,64,15,43,0.3488
LAL,MIN,2023-03-03,64,14,53,0.2642
WAS,TOR,2023-03-04,63,13,39,0.3333
TOR,WAS,2023-03-04,65,11,46,0.2391
MIL,PHI,2023-03-04,63,13,41,0.3171
PHI,MIL,2023-03-04,63,12,44,0.2727
SAC,MIN,2023-03-04,63,11,45,0.2444
MIN,SAC,2023-03-04,66,10,38,0.2632
CLE,DET,2023-03-04,66,11,49,0.2245
DET,CLE,2023-03-04,64,17,52,0.3269
MIA,ATL,2023-03-04,65,14,43,0.3256
SAS,HOU,2023-03-04,64,15,49,0.3061
HOU,SAS,2023-03-04,63,15,44,0.3409
ATL,MIA,2023-03-04,64,11,44,0.25
PHX,DAL,2023-03-05,65,13,41,0.3171
DAL,PHX,2023-03-05,65,7,41,0.1707
CHI,IND,2023-03-05,65,8,31,0.2581
IND,CHI,2023-03-05,65,15,47,0.3191
GSW,LAL,2023-03-05,65,14,57,0.2456
LAL,GSW,2023-03-05,65,17,55,0.3091
HOU,SAS,2023-03-05,64,10,34,0.2941
OKC,UTA,2023-03-05,64,14,43,0.3256
BOS,NYK,2023-03-05,65,23,68,0.3382
UTA,OKC,2023-03-05,65,15,46,0.3261
NYK,BOS,2023-03-05,66,15,54,0.2778
SAS,HOU,2023-03-05,65,13,53,0.2453
MIL,WAS,2023-03-05,64,7,46,0.1522
WAS,MIL,2023-03-05,64,21,62,0.3387
MEM,LAC,2023-03-05,63,3,45,0.0667
LAC,MEM,2023-03-05,67,18,42,0.4286
CHA,BKN,2023-03-05,66,6,56,0.1071
BKN,CHA,2023-03-05,64,10,57,0.1754
POR,ORL,2023-03-05,64,14,46,0.3043
ORL,POR,2023-03-05,65,8,48,0.1667
ATL,MIA,2023-03-06,65,17,45,0.3778
MIA,ATL,2023-03-06,66,10,37,0.2703
BOS,CLE,2023-03-06,66,17,61,0.2787
PHI,IND,2023-03-06,64,8,35,0.2286
CLE,BOS,2023-03-06,67,16,55,0.2909
DET,POR,2023-03-06,65,16,49,0.3265
POR,DET,2023-03-06,65,6,44,0.1364
IND,PHI,2023-03-06,66,9,42,0.2143
SAC,NOP,2023-03-06,64,6,39,0.1538
DEN,TOR,2023-03-06,65,14,44,0.3182
NOP,SAC,2023-03-06,65,7,38,0.1842
TOR,DEN,2023-03-06,66,14,45,0.3111
MEM,LAL,2023-03-07,64,7,60,0.1167
ORL,MIL,2023-03-07,66,16,52,0.3077
HOU,BKN,2023-03-07,65,16,49,0.3265
MIN,PHI,2023-03-07,67,9,56,0.1607
GSW,OKC,2023-03-07,66,11,44,0.25
UTA,DAL,2023-03-07,66,11,55,0.2
OKC,GSW,2023-03-07,65,17,44,0.3864
WAS,DET,2023-03-07,65,13,35,0.3714
DAL,UTA,2023-03-07,66,7,51,0.1373
PHI,MIN,2023-03-07,65,12,41,0.2927
BKN,HOU,2023-03-07,65,7,43,0.1628
CHA,NYK,2023-03-07,67,14,46,0.3043
MIL,ORL,2023-03-07,65,3,33,0.0909
NYK,CHA,2023-03-07,67,13,55,0.2364
DET,WAS,2023-03-07,66,15,44,0.3409
LAL,MEM,2023-03-07,66,13,53,0.2453
MIA,CLE,2023-03-08,67,13,38,0.3421
CLE,MIA,2023-03-08,68,11,42,0.2619
NOP,DAL,2023-03-08,66,10,42,0.2381
WAS,ATL,2023-03-08,66,9,37,0.2432
BOS,POR,2023-03-08,67,6,49,0.1224
DAL,NOP,2023-03-08,67,9,53,0.1698
POR,BOS,2023-03-08,66,9,54,0.1667
ATL,WAS,2023-03-08,66,9,43,0.2093
CHI,DEN,2023-03-08,66,10,43,0.2326
DEN,CHI,2023-03-08,66,12,54,0.2222
LAC,TOR,2023-03-08,68,9,36,0.25
TOR,LAC,2023-03-08,67,20,60,0.3333
PHX,OKC,2023-03-08,66,16,47,0.3404
OKC,PHX,2023-03-08,66,14,56,0.25
IND,HOU,2023-03-09,67,11,53,0.2075
GSW,MEM,2023-03-09,67,11,47,0.234
HOU,IND,2023-03-09,66,28,64,0.4375
MEM,GSW,2023-03-09,65,13,44,0.2955
ORL,UTA,2023-03-09,67,19,53,0.3585
UTA,ORL,2023-03-09,67,14,40,0.35
DET,CHA,2023-03-09,67,18,51,0.3529
CHA,DET,2023-03-09,68,15,49,0.3061
SAC,NYK,2023-03-09,65,7,45,0.1556
NYK,SAC,2023-03-09,68,26,66,0.3939
MIL,BKN,2023-03-09,66,23,60,0.3833
BKN,MIL,2023-03-09,66,21,63,0.3333
POR,PHI,2023-03-10,67,9,41,0.2195
WAS,ATL,2023-03-10,67,11,46,0.2391
PHI,POR,2023-03-10,66,12,43,0.2791
ATL,WAS,2023-03-10,67,16,54,0.2963
MIA,CLE,2023-03-10,68,14,41,0.3415
DEN,SAS,2023-03-10,67,8,46,0.1739
MIN,BKN,2023-03-10,68,17,57,0.2982
CLE,MIA,2023-03-10,69,11,49,0.2245
SAS,DEN,2023-03-10,66,15,45,0.3333
BKN,MIN,2023-03-10,67,14,51,0.2745
TOR,LAL,2023-03-10,68,12,46,0.2609
LAL,TOR,2023-03-10,67,8,35,0.2286
LAC,NYK,2023-03-11,69,11,47,0.234
NYK,LAC,2023-03-11,69,22,60,0.3667
UTA,CHA,2023-03-11,68,26,59,0.4407
CHA,UTA,2023-03-11,69,15,59,0.2542
IND,DET,2023-03-11,68,19,54,0.3519
BOS,ATL,2023-03-11,68,9,44,0.2045
DET,IND,2023-03-11,68,15,56,0.2679
MIA,ORL,2023-03-11,69,13,53,0.2453
ATL,BOS,2023-03-11,68,14,51,0.2745
ORL,MIA,2023-03-11,68,18,53,0.3396
MEM,DAL,2023-03-11,66,12,47,0.2553
DAL,MEM,2023-03-11,68,13,49,0.2653
HOU,CHI,2023-03-11,67,12,47,0.2553
CHI,HOU,2023-03-11,67,14,43,0.3256
OKC,NOP,2023-03-11,67,9,44,0.2045
NOP,OKC,2023-03-11,67,12,49,0.2449
GSW,MIL,2023-03-11,68,21,67,0.3134
MIL,GSW,2023-03-11,67,9,58,0.1552
PHX,SAC,2023-03-11,67,9,46,0.1957
SAC,PHX,2023-03-11,66,13,46,0.2826
DEN,BKN,2023-03-12,68,23,48,0.4792
BKN,DEN,2023-03-12,68,8,43,0.186
CLE,CHA,2023-03-12,70,13,49,0.2653
CHA,CLE,2023-03-12,70,11,42,0.2619
SAS,OKC,2023-03-12,67,14,58,0.2414
OKC,SAS,2023-03-12,68,15,60,0.25
PHI,WAS,2023-03-12,67,11,40,0.275
NOP,POR,2023-03-12,68,10,47,0.2128
WAS,PHI,2023-03-12,68,13,52,0.25
POR,NOP,2023-03-12,68,12,49,0.2449
LAL,NYK,2023-03-12,68,14,49,0.2857
NYK,LAL,2023-03-12,70,15,47,0.3191
UTA,MIA,2023-03-13,69,18,49,0.3673
IND,DET,2023-03-13,69,16,53,0.3019
DET,IND,2023-03-13,69,23,53,0.434
MIA,UTA,2023-03-13,70,10,44,0.2273
MEM,DAL,2023-03-13,67,11,46,0.2391
DAL,MEM,2023-03-13,69,11,56,0.1964
MIN,ATL,2023-03-13,69,7,41,0.1707
ATL,MIN,2023-03-13,69,20,54,0.3704
HOU,BOS,2023-03-13,68,18,53,0.3396
BOS,HOU,2023-03-13,69,14,49,0.2857
PHX,GSW,2023-03-13,68,20,52,0.3846
SAC,MIL,2023-03-13,67,19,59,0.322
MIL,SAC,2023-03-13,68,7,39,0.1795
GSW,PHX,2023-03-13,69,11,44,0.25
DEN,TOR,2023-03-14,69,7,37,0.1892
TOR,DEN,2023-03-14,69,17,46,0.3696
OKC,BKN,2023-03-14,69,18,56,0.3214
DET,WAS,2023-03-14,70,22,62,0.3548
WAS,DET,2023-03-14,69,15,41,0.3659
CHA,CLE,2023-03-14,71,10,33,0.303
CLE,CHA,2023-03-14,71,9,45,0.2
SAS,ORL,2023-03-14,68,9,39,0.2308
NOP,LAL,2023-03-14,69,21,60,0.35
BKN,OKC,2023-03-14,69,13,50,0.26
LAL,NOP,2023-03-14,69,16,43,0.3721
NYK,POR,2023-03-14,71,11,42,0.2619
ORL,SAS,2023-03-14,69,16,57,0.2807
PHX,MIL,2023-03-14,69,14,55,0.2545
POR,NYK,2023-03-14,69,19,64,0.2969
MIL,PHX,2023-03-14,69,14,50,0.28
SAS,DAL,2023-03-15,69,20,63,0.3175
DAL,SAS,2023-03-15,70,13,45,0.2889
GSW,LAC,2023-03-15,70,10,42,0.2381
LAC,GSW,2023-03-15,70,19,50,0.38
HOU,LAL,2023-03-15,69,17,45,0.3778
PHI,CLE,2023-03-15,68,16,37,0.4324
MIN,BOS,2023-03-15,70,13,51,0.2549
CLE,PHI,2023-03-15,72,15,49,0.3061
CHI,SAC,2023-03-15,68,20,62,0.3226
BOS,MIN,2023-03-15,70,12,52,0.2308
SAC,CHI,2023-03-15,68,9,46,0.1957
LAL,HOU,2023-03-15,70,16,56,0.2857
MEM,MIA,2023-03-15,68,13,49,0.2653
MIA,MEM,2023-03-15,71,8,35,0.2286
DET,DEN,2023-03-16,71,16,50,0.32
OKC,TOR,2023-03-16,70,16,56,0.2857
IND,MIL,2023-03-16,70,10,46,0.2174
TOR,OKC,2023-03-16,70,23,54,0.4259
SAC,BKN,2023-03-16,69,17,56,0.3036
DEN,DET,2023-03-16,70,17,45,0.3778
BKN,SAC,2023-03-16,70,4,52,0.0769
MIL,IND,2023-03-16,70,11,46,0.2391
ORL,PHX,2023-03-16,70,13,44,0.2955
PHX,ORL,2023-03-16,70,9,47,0.1915
PHI,CHA,2023-03-17,69,17,48,0.3542
ATL,GSW,2023-03-17,70,17,57,0.2982
CLE,WAS,2023-03-17,73,10,43,0.2326
CHA,PHI,2023-03-17,72,13,62,0.2097
GSW,ATL,2023-03-17,71,19,54,0.3519
WAS,CLE,2023-03-17,70,9,43,0.2093
NOP,HOU,2023-03-17,70,9,46,0.1957
HOU,NOP,2023-03-17,70,18,48,0.375
SAS,MEM,2023-03-17,70,22,61,0.3607
MEM,SAS,2023-03-17,69,17,57,0.2982
CHI,MIN,2023-03-17,69,8,45,0.1778
MIN,CHI,2023-03-17,71,17,61,0.2787
DAL,LAL,2023-03-17,71,10,41,0.2439
BOS,POR,2023-03-17,71,20,49,0.4082
LAL,DAL,2023-03-17,71,19,48,0.3958
POR,BOS,2023-03-17,70,10,45,0.2222
NYK,DEN,2023-03-18,72,15,44,0.3409
DEN,NYK,2023-03-18,71,11,42,0.2619
LAC,ORL,2023-03-18,71,15,51,0.2941
ORL,LAC,2023-03-18,71,14,45,0.3111
GSW,MEM,2023-03-18,72,24,54,0.4444
SAC,WAS,2023-03-18,70,7,42,0.1667
MEM,GSW,2023-03-18,70,15,44,0.3409
MIA,CHI,2023-03-18,72,19,49,0.3878
CHI,MIA,2023-03-18,70,8,35,0.2286
WAS,SAC,2023-03-18,71,14,53,0.2642
BOS,UTA,2023-03-18,72,7,47,0.1489
UTA,BOS,2023-03-18,70,19,57,0.3333
IND,PHI,2023-03-18,71,16,43,0.3721
PHI,IND,2023-03-18,70,7,37,0.1892
TOR,MIN,2023-03-18,71,10,45,0.2222
MIN,TOR,2023-03-18,72,11,48,0.2292
BKN,DEN,2023-03-19,71,10,45,0.2222
DEN,BKN,2023-03-19,72,13,39,0.3333
DET,MIA,2023-03-19,72,11,47,0.234
MIA,DET,2023-03-19,73,11,43,0.2558
NOP,HOU,2023-03-19,71,14,43,0.3256
HOU,NOP,2023-03-19,71,16,46,0.3478
PHX,OKC,2023-03-19,71,10,50,0.2
OKC,PHX,2023-03-19,71,12,46,0.2609
SAS,ATL,2023-03-19,71,15,46,0.3261
ATL,SAS,2023-03-19,71,21,54,0.3889
LAL,ORL,2023-03-19,72,10,45,0.2222
LAC,POR,2023-03-19,72,21,53,0.3962
POR,LAC,2023-03-19,71,13,46,0.2826
ORL,LAL,2023-03-19,72,18,63,0.2857
TOR,MIL,2023-03-19,72,16,56,0.2857
MIL,TOR,2023-03-19,71,8,40,0.2
IND,CHA,2023-03-20,72,19,48,0.3958
CHI,PHI,2023-03-20,71,11,58,0.1897
CHA,IND,2023-03-20,73,15,53,0.283
PHI,CHI,2023-03-20,71,13,53,0.2453
MIN,NYK,2023-03-20,73,9,36,0.25
NYK,MIN,2023-03-20,73,11,39,0.2821
HOU,GSW,2023-03-20,72,22,55,0.4
DAL,MEM,2023-03-20,72,12,45,0.2667
MEM,DAL,2023-03-20,71,19,53,0.3585
GSW,HOU,2023-03-20,73,17,47,0.3617
UTA,SAC,2023-03-20,71,7,44,0.1591
SAC,UTA,2023-03-20,71,14,61,0.2295
WAS,ORL,2023-03-21,72,8,45,0.1778
ORL,WAS,2023-03-21,73,8,37,0.2162
ATL,DET,2023-03-21,72,26,56,0.4643
BKN,CLE,2023-03-21,72,26,53,0.4906
CLE,BKN,2023-03-21,74,11,41,0.2683
DET,ATL,2023-03-21,73,12,56,0.2143
OKC,LAC,2023-03-21,72,17,54,0.3148
BOS,SAC,2023-03-21,73,14,47,0.2979
SAC,BOS,2023-03-21,72,12,45,0.2667
LAC,OKC,2023-03-21,73,16,52,0.3077
SAS,NOP,2023-03-21,72,13,61,0.2131
NOP,SAS,2023-03-21,72,9,38,0.2368
DEN,WAS,2023-03-22,73,12,41,0.2927
WAS,DEN,2023-03-22,73,13,44,0.2955
PHX,LAL,2023-03-22,72,15,50,0.3
LAL,PHX,2023-03-22,73,7,35,0.2
MIA,NYK,2023-03-22,74,3,36,0.0833
NYK,MIA,2023-03-22,74,13,42,0.3095
IND,TOR,2023-03-22,73,10,37,0.2703
TOR,IND,2023-03-22,73,18,54,0.3333
DAL,GSW,2023-03-22,73,14,51,0.2745
CHI,PHI,2023-03-22,72,18,51,0.3529
GSW,DAL,2023-03-22,74,12,41,0.2927
MIN,ATL,2023-03-22,74,15,49,0.3061
ATL,MIN,2023-03-22,73,11,42,0.2619
MIL,SAS,2023-03-22,72,14,54,0.2593
SAS,MIL,2023-03-22,73,11,62,0.1774
MEM,HOU,2023-03-22,72,15,44,0.3409
PHI,CHI,2023-03-22,72,16,44,0.3636
HOU,MEM,2023-03-22,73,22,48,0.4583
POR,UTA,2023-03-22,72,9,50,0.18
UTA,POR,2023-03-22,72,8,48,0.1667
NYK,ORL,2023-03-23,75,15,52,0.2885
ORL,NYK,2023-03-23,74,13,50,0.26
CLE,BKN,2023-03-23,75,16,50,0.32
BKN,CLE,2023-03-23,73,15,44,0.3409
NOP,CHA,2023-03-23,73,15,53,0.283
CHA,NOP,2023-03-23,74,5,47,0.1064
LAC,OKC,2023-03-23,74,12,39,0.3077
OKC,LAC,2023-03-23,73,18,53,0.3396
DET,TOR,2023-03-24,74,11,42,0.2619
IND,BOS,2023-03-24,74,8,49,0.1633
TOR,DET,2023-03-24,74,22,53,0.4151
BOS,IND,2023-03-24,74,12,52,0.2308
MEM,HOU,2023-03-24,73,9,38,0.2368
HOU,MEM,2023-03-24,74,11,44,0.25
DAL,CHA,2023-03-24,74,7,45,0.1556
CHA,DAL,2023-03-24,75,10,50,0.2
CHI,POR,2023-03-24,73,12,37,0.3243
POR,CHI,2023-03-24,73,12,50,0.24
GSW,PHI,2023-03-24,75,11,49,0.2245
PHI,GSW,2023-03-24,73,4,43,0.093
SAS,WAS,2023-03-24,74,15,53,0.283
WAS,SAS,2023-03-24,74,7,39,0.1795
SAC,PHX,2023-03-24,73,10,43,0.2326
OKC,LAL,2023-03-24,74,14,52,0.2692
LAL,OKC,2023-03-24,74,18,52,0.3462
PHX,SAC,2023-03-24,73,17,46,0.3696
MIL,UTA,2023-03-24,73,13,47,0.2766
UTA,MIL,2023-03-24,73,23,69,0.3333
IND,ATL,2023-03-25,75,16,44,0.3636
ATL,IND,2023-03-25,74,21,43,0.4884
MIL,DEN,2023-03-25,74,6,50,0.12
DEN,MIL,2023-03-25,74,9,46,0.1957
MIA,BKN,2023-03-25,75,14,43,0.3256
BKN,MIA,2023-03-25,74,20,46,0.4348
SAC,UTA,2023-03-25,74,16,52,0.3077
UTA,SAC,2023-03-25,74,15,47,0.3191
PHI,PHX,2023-03-25,74,12,46,0.2609
LAC,NOP,2023-03-25,75,4,39,0.1026
PHX,PHI,2023-03-25,74,17,47,0.3617
NOP,LAC,2023-03-25,74,16,45,0.3556
CHA,DAL,2023-03-26,76,15,50,0.3
DAL,CHA,2023-03-26,75,7,52,0.1346
CHI,LAL,2023-03-26,74,11,42,0.2619
LAL,CHI,2023-03-26,75,9,43,0.2093
SAS,BOS,2023-03-26,75,7,65,0.1077
TOR,WAS,2023-03-26,75,20,54,0.3704
CLE,HOU,2023-03-26,76,16,45,0.3556
BKN,ORL,2023-03-26,75,18,56,0.3214
MEM,ATL,2023-03-26,74,8,44,0.1818
WAS,TOR,2023-03-26,75,15,52,0.2885
HOU,CLE,2023-03-26,75,16,46,0.3478
ORL,BKN,2023-03-26,75,12,43,0.2791
BOS,SAS,2023-03-26,75,9,45,0.2
ATL,MEM,2023-03-26,75,19,54,0.3519
OKC,POR,2023-03-26,75,17,54,0.3148
POR,OKC,2023-03-26,74,12,44,0.2727
MIN,GSW,2023-03-26,75,13,50,0.26
GSW,MIN,2023-03-26,76,8,49,0.1633
DET,MIL,2023-03-27,75,19,54,0.3519
DAL,IND,2023-03-27,76,7,37,0.1892
NYK,HOU,2023-03-27,76,8,40,0.2
IND,DAL,2023-03-27,76,22,56,0.3929
HOU,NYK,2023-03-27,76,14,49,0.2857
DEN,PHI,2023-03-27,75,12,42,0.2857
MIL,DET,2023-03-27,75,18,53,0.3396
PHI,DEN,2023-03-27,75,13,48,0.2708
MIN,SAC,2023-03-27,76,15,45,0.3333
CHI,LAC,2023-03-27,75,10,41,0.2439
LAC,CHI,2023-03-27,76,10,38,0.2632
NOP,POR,2023-03-27,75,12,37,0.3243
POR,NOP,2023-03-27,75,11,56,0.1964
SAC,MIN,2023-03-27,75,17,48,0.3542
UTA,PHX,2023-03-27,75,17,51,0.3333
PHX,UTA,2023-03-27,75,21,59,0.3559
WAS,BOS,2023-03-28,76,15,47,0.3191
BOS,WAS,2023-03-28,76,11,48,0.2292
MEM,ORL,2023-03-28,75,12,51,0.2353
CLE,ATL,2023-03-28,77,13,50,0.26
ORL,MEM,2023-03-28,76,16,60,0.2667
CHA,OKC,2023-03-28,77,15,48,0.3125
ATL,CLE,2023-03-28,76,19,51,0.3725
TOR,MIA,2023-03-28,76,16,49,0.3265
MIA,TOR,2023-03-28,76,15,48,0.3125
OKC,CHA,2023-03-28,76,11,49,0.2245
GSW,NOP,2023-03-28,77,12,43,0.2791
NOP,GSW,2023-03-28,76,15,48,0.3125
HOU,BKN,2023-03-29,77,22,56,0.3929
MIA,NYK,2023-03-29,77,8,46,0.1739
IND,MIL,2023-03-29,77,10,51,0.1961
MIL,IND,2023-03-29,76,16,38,0.4211
NYK,MIA,2023-03-29,77,11,43,0.2558
SAC,POR,2023-03-29,76,13,52,0.25
POR,SAC,2023-03-29,76,11,64,0.1719
MIN,PHX,2023-03-29,77,19,53,0.3585
PHX,MIN,2023-03-29,76,18,59,0.3051
BKN,HOU,2023-03-29,76,9,43,0.2093
PHI,DAL,2023-03-29,76,14,46,0.3043
SAS,UTA,2023-03-29,76,14,52,0.2692
MEM,LAC,2023-03-29,76,17,49,0.3469
DAL,PHI,2023-03-29,77,12,46,0.2609
UTA,SAS,2023-03-29,76,9,42,0.2143
LAL,CHI,2023-03-29,76,17,43,0.3953
CHI,LAL,2023-03-29,76,9,44,0.2045
OKC,DET,2023-03-29,77,14,49,0.2857
DET,OKC,2023-03-29,76,12,42,0.2857
