team,opp_team,gamedate,game_number,offensive_rebounds,off_rebound_chances,oreb_pct
HOU,MIN,2023-01-23,47,19,49,0.3878
CHA,UTA,2023-01-23,48,15,53,0.283
UTA,CHA,2023-01-23,50,13,48,0.2708
DAL,WAS,2023-01-24,49,9,45,0.2
LAL,LAC,2023-01-24,48,17,58,0.2931
LAC,LAL,2023-01-24,50,10,35,0.2857
PHX,CHA,2023-01-24,49,17,47,0.3617
WAS,DAL,2023-01-24,47,12,44,0.2727
DEN,NOP,2023-01-24,48,8,42,0.1905
CHA,PHX,2023-01-24,49,15,60,0.25
NOP,DEN,2023-01-24,48,19,48,0.3958
NYK,CLE,2023-01-24,49,11,44,0.25
BOS,MIA,2023-01-24,49,8,45,0.1778
IND,CHI,2023-01-24,49,21,59,0.3559
CHI,IND,2023-01-24,47,16,49,0.3265
CLE,NYK,2023-01-24,49,13,50,0.26
MIA,BOS,2023-01-24,49,21,62,0.3387
ORL,IND,2023-01-25,48,16,39,0.4103
MIN,NOP,2023-01-25,50,7,45,0.1556
IND,ORL,2023-01-25,50,20,48,0.4167
NOP,MIN,2023-01-25,49,15,49,0.3061
ATL,OKC,2023-01-25,49,12,38,0.3158
PHI,BKN,2023-01-25,47,15,40,0.375
DEN,MIL,2023-01-25,49,19,61,0.3115
OKC,ATL,2023-01-25,48,14,52,0.2692
WAS,HOU,2023-01-25,48,19,61,0.3115
BKN,PHI,2023-01-25,47,7,32,0.2188
MIL,DEN,2023-01-25,48,10,46,0.2174
HOU,WAS,2023-01-25,48,23,58,0.3966
UTA,POR,2023-01-25,51,10,45,0.2222
SAC,TOR,2023-01-25,47,6,39,0.1538
MEM,GSW,2023-01-25,48,15,51,0.2941
POR,UTA,2023-01-25,48,9,38,0.2368
GSW,MEM,2023-01-25,48,18,45,0.4
TOR,SAC,2023-01-25,49,18,50,0.36
LAL,SAS,2023-01-25,49,18,52,0.3462
SAS,LAL,2023-01-25,48,22,68,0.3235
DAL,PHX,2023-01-26,50,11,49,0.2245
PHX,DAL,2023-01-26,50,16,52,0.3077
LAC,SAS,2023-01-26,51,8,40,0.2
SAS,LAC,2023-01-26,49,16,50,0.32
CHA,CHI,2023-01-26,50,9,47,0.1915
CHI,CHA,2023-01-26,48,9,55,0.1636
DET,BKN,2023-01-26,50,17,48,0.3542
BKN,DET,2023-01-26,48,18,52,0.3462
CLE,HOU,2023-01-26,50,14,50,0.28
NYK,BOS,2023-01-26,50,12,54,0.2222
BOS,NYK,2023-01-26,50,20,61,0.3279
HOU,CLE,2023-01-26,49,13,40,0.325
MEM,MIN,2023-01-27,49,20,57,0.3509
CLE,OKC,2023-01-27,51,13,52,0.25
OKC,CLE,2023-01-27,49,11,38,0.2895
MIA,ORL,2023-01-27,50,9,49,0.1837
IND,MIL,2023-01-27,51,5,43,0.1163
ORL,MIA,2023-01-27,49,5,39,0.1282
GSW,TOR,2023-01-27,49,9,41,0.2195
TOR,GSW,2023-01-27,50,18,60,0.3
MIN,MEM,2023-01-27,51,11,45,0.2444
MIL,IND,2023-01-27,49,19,53,0.3585
PHI,DEN,2023-01-28,48,15,46,0.3261
DEN,PHI,2023-01-28,50,9,37,0.2432
BKN,NYK,2023-01-28,49,11,43,0.2558
NYK,BKN,2023-01-28,51,16,45,0.3556
DET,HOU,2023-01-28,51,11,48,0.2292
HOU,DET,2023-01-28,50,19,51,0.3725
ATL,LAC,2023-01-28,50,18,50,0.36
ORL,CHI,2023-01-28,50,10,46,0.2174
CHI,ORL,2023-01-28,49,5,36,0.1389
LAC,ATL,2023-01-28,52,8,40,0.2
WAS,NOP,2023-01-28,49,19,53,0.3585
SAS,PHX,2023-01-28,50,25,64,0.3906
PHX,SAS,2023-01-28,51,20,56,0.3571
SAC,MIN,2023-01-28,48,12,49,0.2449
MIN,SAC,2023-01-28,52,13,39,0.3333
NOP,WAS,2023-01-28,50,13,55,0.2364
BOS,LAL,2023-01-28,51,7,45,0.1556
POR,TOR,2023-01-28,49,7,38,0.1842
TOR,POR,2023-01-28,51,16,44,0.3636
LAL,BOS,2023-01-28,50,18,59,0.3051
DAL,UTA,2023-01-28,51,11,48,0.2292
UTA,DAL,2023-01-28,52,18,44,0.4091
MIA,CHA,2023-01-29,51,15,51,0.2941
CHA,MIA,2023-01-29,51,13,41,0.3171
MIL,NOP,2023-01-29,50,14,47,0.2979
NOP,MIL,2023-01-29,51,11,56,0.1964
MEM,IND,2023-01-29,50,19,47,0.4043
IND,MEM,2023-01-29,52,16,44,0.3636
LAC,CLE,2023-01-29,53,22,54,0.4074
CLE,LAC,2023-01-29,52,6,36,0.1667
DET,DAL,2023-01-30,52,13,46,0.2826
PHX,TOR,2023-01-30,52,16,45,0.3556
TOR,PHX,2023-01-30,52,19,51,0.3725
POR,ATL,2023-01-30,50,7,38,0.1842
ATL,POR,2023-01-30,51,23,53,0.434
MIN,SAC,2023-01-30,53,11,54,0.2037
GSW,OKC,2023-01-30,50,8,45,0.1778
SAC,MIN,2023-01-30,49,13,56,0.2321
SAS,WAS,2023-01-30,51,18,60,0.3
WAS,SAS,2023-01-30,50,8,40,0.2
DAL,DET,2023-01-30,52,12,44,0.2727
OKC,GSW,2023-01-30,50,10,49,0.2041
ORL,PHI,2023-01-30,51,18,59,0.3051
BKN,LAL,2023-01-30,50,14,51,0.2745
PHI,ORL,2023-01-30,49,10,46,0.2174
LAL,BKN,2023-01-30,51,21,60,0.35
DEN,NOP,2023-01-31,51,16,48,0.3333
NOP,DEN,2023-01-31,52,10,45,0.2222
CHI,LAC,2023-01-31,50,7,41,0.1707
NYK,LAL,2023-01-31,52,15,55,0.2727
CHA,MIL,2023-01-31,52,20,72,0.2778
LAC,CHI,2023-01-31,54,12,60,0.2
MIL,CHA,2023-01-31,51,17,63,0.2698
LAL,NYK,2023-01-31,52,13,48,0.2708
CLE,MIA,2023-01-31,53,9,46,0.1957
MIA,CLE,2023-01-31,52,12,46,0.2609
PHI,ORL,2023-02-01,50,9,45,0.2
BOS,BKN,2023-02-01,52,12,40,0.3
POR,MEM,2023-02-01,51,12,46,0.2609
ORL,PHI,2023-02-01,52,16,57,0.2807
MEM,POR,2023-02-01,51,14,50,0.28
BKN,BOS,2023-02-01,51,6,54,0.1111
GSW,MIN,2023-02-01,51,11,56,0.1964
SAS,SAC,2023-02-01,52,9,41,0.2195
OKC,HOU,2023-02-01,51,25,66,0.3788
SAC,SAS,2023-02-01,50,8,44,0.1818
MIN,GSW,2023-02-01,54,15,65,0.2308
HOU,OKC,2023-02-01,51,27,59,0.4576
TOR,UTA,2023-02-01,53,28,65,0.4308
UTA,TOR,2023-02-01,53,14,42,0.3333
ATL,PHX,2023-02-01,52,6,40,0.15
PHX,ATL,2023-02-01,53,14,54,0.2593
MIA,NYK,2023-02-02,53,13,51,0.2549
GSW,DEN,2023-02-02,52,11,46,0.2391
DEN,GSW,2023-02-02,52,11,43,0.2558
MIL,LAC,2023-02-02,52,12,54,0.2222
LAC,MIL,2023-02-02,55,11,58,0.1897
NOP,DAL,2023-02-02,53,13,45,0.2889
DAL,NOP,2023-02-02,53,10,51,0.1961
CHA,CHI,2023-02-02,53,20,55,0.3636
MEM,CLE,2023-02-02,52,14,47,0.2979
CLE,MEM,2023-02-02,54,13,46,0.2826
CHI,CHA,2023-02-02,51,10,42,0.2381
LAL,IND,2023-02-02,53,16,56,0.2857
IND,LAL,2023-02-02,53,8,48,0.1667
NYK,MIA,2023-02-02,53,16,44,0.3636
ATL,UTA,2023-02-03,53,15,55,0.2727
UTA,ATL,2023-02-03,54,15,54,0.2778
PHI,SAS,2023-02-03,51,17,45,0.3778
ORL,MIN,2023-02-03,53,15,47,0.3191
MIN,ORL,2023-02-03,55,16,49,0.3265
TOR,HOU,2023-02-03,54,15,54,0.2778
HOU,TOR,2023-02-03,52,12,45,0.2667
SAS,PHI,2023-02-03,53,11,38,0.2895
DET,CHA,2023-02-03,53,15,46,0.3261
CHA,DET,2023-02-03,54,12,54,0.2222
POR,WAS,2023-02-03,52,13,46,0.2826
IND,SAC,2023-02-03,54,12,50,0.24
PHX,BOS,2023-02-03,54,13,55,0.2364
SAC,IND,2023-02-03,51,12,52,0.2308
WAS,POR,2023-02-03,51,12,43,0.2791
BOS,PHX,2023-02-03,53,6,50,0.12
WAS,BKN,2023-02-04,52,14,45,0.3111
BKN,WAS,2023-02-04,52,11,45,0.2444
NOP,LAL,2023-02-04,54,17,48,0.3542
LAL,NOP,2023-02-04,54,16,51,0.3137
LAC,NYK,2023-02-04,56,14,52,0.2692
PHX,DET,2023-02-04,55,13,37,0.3514
NYK,LAC,2023-02-04,54,12,50,0.24
DET,PHX,2023-02-04,54,12,52,0.2308
MIL,MIA,2023-02-04,53,12,46,0.2609
CHI,POR,2023-02-04,52,7,34,0.2059
HOU,OKC,2023-02-04,53,15,48,0.3125
GSW,DAL,2023-02-04,53,6,40,0.15
DAL,GSW,2023-02-04,54,13,49,0.2653
OKC,HOU,2023-02-04,52,15,41,0.3659
MIA,MIL,2023-02-04,54,16,57,0.2807
POR,CHI,2023-02-04,53,7,44,0.1591
DEN,ATL,2023-02-04,53,15,49,0.3061
ATL,DEN,2023-02-04,54,12,49,0.2449
CHA,ORL,2023-02-05,55,9,43,0.2093
ORL,CHA,2023-02-05,54,20,51,0.3922
IND,CLE,2023-02-05,55,16,56,0.2857
CLE,IND,2023-02-05,55,12,43,0.2791
PHI,NYK,2023-02-05,52,10,48,0.2083
DEN,MIN,2023-02-05,54,7,40,0.175
MEM,TOR,2023-02-05,53,9,42,0.2143
NOP,SAC,2023-02-05,55,15,42,0.3571
NYK,PHI,2023-02-05,55,15,52,0.2885
SAC,NOP,2023-02-05,52,13,50,0.26
MIN,DEN,2023-02-05,56,8,43,0.186
TOR,MEM,2023-02-05,55,21,59,0.3559
CLE,WAS,2023-02-06,56,8,38,0.2105
WAS,CLE,2023-02-06,53,9,49,0.1837
LAC,BKN,2023-02-06,57,14,51,0.2745
DET,BOS,2023-02-06,55,10,53,0.1887
BOS,DET,2023-02-06,54,11,47,0.234
BKN,LAC,2023-02-06,53,8,46,0.1739
CHI,SAS,2023-02-06,53,7,40,0.175
SAC,HOU,2023-02-06,53,9,39,0.2308
SAS,CHI,2023-02-06,54,9,51,0.1765
HOU,SAC,2023-02-06,54,17,47,0.3617
DAL,UTA,2023-02-06,55,20,49,0.4082
UTA,DAL,2023-02-06,55,14,47,0.2979
GSW,OKC,2023-02-06,54,13,44,0.2955
OKC,GSW,2023-02-06,53,10,48,0.2083
MIL,POR,2023-02-06,54,10,43,0.2326
POR,MIL,2023-02-06,54,8,57,0.1404
NYK,ORL,2023-02-07,56,14,47,0.2979
ORL,NYK,2023-02-07,55,11,45,0.2444
NOP,ATL,2023-02-07,56,16,48,0.3333
ATL,NOP,2023-02-07,55,15,50,0.3
BKN,PHX,2023-02-07,54,9,43,0.2093
PHX,BKN,2023-02-07,56,18,51,0.3529
MEM,CHI,2023-02-07,54,5,45,0.1111
DEN,MIN,2023-02-07,55,9,38,0.2368
CHI,MEM,2023-02-07,54,21,61,0.3443
MIN,DEN,2023-02-07,57,9,47,0.1915
LAL,OKC,2023-02-07,55,9,41,0.2195
OKC,LAL,2023-02-07,54,9,46,0.1957
IND,MIA,2023-02-08,56,8,46,0.1739
PHI,BOS,2023-02-08,53,10,51,0.1961
TOR,SAS,2023-02-08,56,12,47,0.2553
BOS,PHI,2023-02-08,55,8,38,0.2105
CHA,WAS,2023-02-08,56,14,56,0.25
MIA,IND,2023-02-08,55,15,43,0.3488
CLE,DET,2023-02-08,57,21,47,0.4468
HOU,SAC,2023-02-08,55,17,39,0.4359
WAS,CHA,2023-02-08,54,15,44,0.3409
SAS,TOR,2023-02-08,55,12,55,0.2182
DET,CLE,2023-02-08,56,13,52,0.25
UTA,MIN,2023-02-08,56,22,62,0.3548
MIN,UTA,2023-02-08,58,12,42,0.2857
SAC,HOU,2023-02-08,54,13,48,0.2708
DAL,LAC,2023-02-08,56,8,41,0.1951
POR,GSW,2023-02-08,55,13,35,0.3714
LAC,DAL,2023-02-08,58,11,48,0.2292
GSW,POR,2023-02-08,55,14,52,0.2692
DEN,ORL,2023-02-09,56,13,48,0.2708
CHI,BKN,2023-02-09,55,12,52,0.2308
ORL,DEN,2023-02-09,56,18,53,0.3396
PHX,ATL,2023-02-09,57,10,50,0.2
ATL,PHX,2023-02-09,56,26,55,0.4727
BKN,CHI,2023-02-09,55,13,54,0.2407
LAL,MIL,2023-02-09,56,12,50,0.24
MIL,LAL,2023-02-09,55,21,56,0.375
DET,SAS,2023-02-10,57,27,67,0.403
SAS,DET,2023-02-10,56,21,65,0.3231
